Comment,Designator,Footprint,LCSC
1k,"R0,R5,R6",R_0402_1005Metric,C11702
100nF,"C11,C12,C13,C14,C15,C16,C5,C6,C7,C9",C_0402_1005Metric,C1525
10uF,C17,C_0402_1005Metric,C15525
22pF,"C2,C3",C_0402_1005Metric,C1555
RP2040,U3,RP2040-QFN-56,C2040
1N4148,"DA0,DA1,DA10,DA11,DA12,DA13,DA2,DA3,DA4,DA5,DA6,DA7,DA8,DA9,DB0,DB1,DB10,DB11,DB12,DB13,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DC0,DC1,DC10,DC11,DC12,DC13,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DD0,DD1,DD10,DD11,DD12,DD13,DD2,DD3,DD4,DD5,DD6,DD7,DD8,DD9,DE0,DE1,DE10,DE11,DE12,DE13,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DF0,DF1,DF10,DF11,DF12,DF13,DF2,DF3,DF4,DF5,DF6,DF7,DF8,DF9",D_SOD-123,C2128
27,"R3,R4",R_0402_1005Metric,C25190
5k1,"R1,R2",R_0402_1005Metric,C25905
USBLC6-2SC6,U4,SOT-23-6,C2827654
1uF,"C1,C10,C4,C8",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U1,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
W25Q32JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C82344
12MHz Crystal 3225,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
CPG151101S11-1,KD1,SW_Cherry_MX_1.00u_Hotswap,
SK6812MINI-E,RGBF7,SK6812-MINI-E_back,
CPG151101S11-1,KB11,SW_Cherry_MX_1.00u_Hotswap,
SK6812MINI-E,RGBE8,SK6812-MINI-E_back,
SK6812MINI-E,RGBA3,SK6812-MINI-E_back,
SK6812MINI-E,RGBC6,SK6812-MINI-E_back,
SK6812MINI-E,RGBF1,SK6812-MINI-E_back,
CPG151101S11-1,KD11,SW_Cherry_MX_1.00u_Hotswap,
SK6812MINI-E,RGBD11,SK6812-MINI-E_back,
SK6812MINI-E,RGBA10,SK6812-MINI-E_back,
CPG151101S11-1,KC12,SW_Cherry_MX_1.00u_Hotswap,
SK6812MINI-E,RGBF3,SK6812-MINI-E_back,
SK6812MINI-E,RGBA5,SK6812-MINI-E_back,
CPG151101S11-1,KC4,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KB10,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KE3,SW_Cherry_MX_1.00u_Hotswap,
SK6812MINI-E,RGBF10,SK6812-MINI-E_back,
SK6812MINI-E,RGBA11,SK6812-MINI-E_back,
SK6812MINI-E,RGBB8,SK6812-MINI-E_back,
CPG151101S11-1,KB9,SW_Cherry_MX_1.00u_Hotswap,
SK6812MINI-E,RGBA9,SK6812-MINI-E_back,
CPG151101S11-1,KC1,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KA2,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KF8,SW_Cherry_MX_1.00u_Hotswap,
SK6812MINI-E,RGBB13,SK6812-MINI-E_back,
CPG151101S11-1,KA9,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KA12,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KE8,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KF0,SW_Cherry_MX_1.25u_Hotswap,
CPG151101S11-1,KD13,SW_Cherry_MX_2.25u_Hotswap,
SK6812MINI-E,RGBB10,SK6812-MINI-E_back,
CPG151101S11-1,KC11,SW_Cherry_MX_1.00u_Hotswap,
SK6812MINI-E,RGBC1,SK6812-MINI-E_back,
MountingHole,MountTopMiddle6,MountingHole_2.2mm_M2_Pad,
SW_RST,RSW2,SW_RST,
CPG151101S11-1,KA11,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KD9,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KA13,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KD4,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KA3,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KF4,SW_Cherry_MX_2.25u_Hotswap_Reversed,
SK6812MINI-E,RGBD12,SK6812-MINI-E_back,
SK6812MINI-E,RGBB1,SK6812-MINI-E_back,
CPG151101S11-1,KF10,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KB2,SW_Cherry_MX_1.00u_Hotswap,
CPG151101S11-1,KA10,SW_Cherry_MX_1.00u_Hotswap,
SK6812MINI-E,RGBB0,SK6812-MINI-E_back,
CPG151101S11-1,KB0,SW_Cherry_MX_1.00u_Hotswap,
Rotary_Encoder_Switch,SW1,RotaryEncoder_EC11-Switch_Horizontal_H15mm,
CPG151101S11-1,KB6,SW_Cherry_MX_1.00u_Hotswap,
MountingHole,MountTopMiddle4,MountingHole_2.2mm_M2_Pad,
CPG151101S11-1,KA5,SW_Cherry_MX_1.00u_Hotswap,
